Year,Accident Factor,Damage to Property,Fatal,Non Fatal Injury,Grand Total
2020,Human Error,466,,153,619
2020,Human Error (Fallen Passenaer),,,1,1
2020,Human Error (Falling Asleep),1,,2,3
2020,Human Error (Fell Down Deep Hole),1,,,1
2020,Human Error (Lost Control),17,,13,30
2020,Human Error (Low Side Crash),2,,1,3
2020,Human Error (Open Door),1,,2,3
2020,Human Error (Over Turned),2,,,2
2020,Human Error (Slide),,,1,1
2020,Mechanical Defect,8,,,8
2020,Mechanical Defect (Break Malfunction),3,,1,4
2020,No Accident Factor (Based on the Police Blotter Book),17290,94,4390,21774
2020,Other (Heart Attack),1,,,1
2020,Positive of Methamphetamine of Dangerous Drug,,,1,1
2020,Road Condition,1,,2,3
2020,Road Condition (Deep Hole),1,,,1
2020,Road Condition (Slippery),1,,2,3
2020,Under theInfluence of Liauor,18,,8,26
2020,Vehicle Defect (Detached Bumper),1,,,1
2020,"Vehicle Defect (Exploded, Flat Tire)",3,,3,6
2020,Vehicle Defect (Lost Brake),1,,,1
2020,Vehicle Defect (Wheel Detached),1,,,1
2020,Weather Condition,1,,,1
